"id","english","french","scientific","code","group","sort"
"111240","Julia Creek Dunnart","","Sminthopsis douglasi","","MAMMALS","111240"
"111290","Hairy-footed Dunnart","","Sminthopsis hirtipes","","MAMMALS","111290"
"111340","Common Dunnart, Marsupial Mouse","","Sminthopsis murina","","MAMMALS","111340"
"111390","Pig-footed Bandicoot","","Chaeropus ecaudatus","","MAMMALS","111390"
"111440","Lesser Bilby, Yallara","","Macrotis leucura","","MAMMALS","111440"
"111490","Dimorphic Echymipera","","Echymipera clara","","MAMMALS","111490"
"111540","Striped Bandicoot","","Microperoryctes longicauda","","MAMMALS","111540"
"111590","Saram Bandicoot","","Rhynchomeles prattorum","","MAMMALS","111590"
"111640","Southern Hairy-nosed Wombat","","Lasiorhinus latifrons","","MAMMALS","111640"
"111690","Woodlark Cuscus","","Phalanger lullulae","","MAMMALS","111690"
"34246","Freckle-breasted Thornbird","Synallaxe rousselé","Phacellodomus striaticollis","","BIRDS","8128"
"34253","Lark-like Brushrunner","Annumbi alouette","Coryphistera alaudina","","BIRDS","8140"
"34289","Ochre-breasted Foliage-gleaner","Anabate de Lichtenstein","Anabacerthia lichtensteini","","BIRDS","8040"
"34296","White-collared Foliage-gleaner","Anabate à col blanc","Anabazenops fuscus","","BIRDS","8014"
"34303","Flammulated Treehunter","Anabate flammé","Thripadectes flammulatus","","BIRDS","8064"
"34339","Scimitar-billed Woodcreeper","Grimpar porte-sabre","Drymornis bridgesii","","BIRDS","7923"
"34353","Hoffmanns's Woodcreeper","Grimpar de Hoffmanns","Dendrocolaptes hoffmannsi","","BIRDS","7859"
"34389","Giant Antshrike","Batara géant","Batara cinerea","","BIRDS","7235"
"34396","Silvery-cheeked Antshrike","Batara à joues argent","Sakesphorus cristatus","","BIRDS","7246"
"34403","Chapman's Antshrike","Batara de Chapman","Thamnophilus zarumae","","BIRDS","7256"
"34446","Saturnine Antshrike","Batara saturnin","Thamnomanes saturninus","","BIRDS","7314"
"34489","Black-capped Antwren","Grisin mitré","Herpsilochmus atricapillus","","BIRDS","7379"
"34496","Ancient Antwren","Grisin de Gentry","Herpsilochmus gentryi","","BIRDS","7389"
"34539","Slender Antbird","Alapi du Bahia","Rhopornis ardesiacus","","BIRDS","7473"
"34546","Black-chinned Antbird","Alapi à menton noir","Hypocnemoides melanopogon","","BIRDS","7479"
"34589","Bare-eyed Antbird","Fourmilier fuligineux","Rhegmatorhina gymnops","","BIRDS","7547"
"34596","Reddish-winged Bare-eye","Fourmilier à miroir roux","Phlegopsis erythroptera","","BIRDS","7566"
"34632","Brown-banded Antpitta","Grallaire ceinturée","Grallaria milleri","","BIRDS","7636"
"34639","Bay Antpitta","Grallaire châtaine","Grallaria capitalis","","BIRDS","7620"
"34646","Pale-billed Antpitta","Grallaire de Carriker","Grallaria carrikeri","","BIRDS","7615"
"34682","Brasilia Tapaculo","Mérulaxe de Brasilia","Scytalopus novacapitalis","","BIRDS","7736"
"34689","Long-tailed Tapaculo","Mérulaxe microptère","Scytalopus micropterus","","BIRDS","7711"
"34732","Chestnut-crested Cotinga","Cotinga à tête rousse","Ampelion rufaxilla","","BIRDS","8398"
"34739","Black-headed Berryeater","Cotinga à tête noire","Carpornis melanocephala","","BIRDS","8366"
"34746","Masked Fruiteater","Cotinga masqué","Pipreola pulchra","","BIRDS","8379"
"34782","Bare-necked Fruitcrow","Cotinga à col nu","Gymnoderus foetidus","","BIRDS","8440"
"34789","Capuchinbird","Coracine chauve","Perissocephalus tricolor","","BIRDS","8411"
"34796","Guianan Cock-of-the-rock","Coq-de-roche orange","Rupicola rupicola","","BIRDS","8401"
"34832","Kinglet Manakin","Manakin rubis","Machaeropterus regulus","","BIRDS","8353"
"34839","Flame-crowned Manakin","Manakin à moustaches","Heterocercus linteatus","","BIRDS","8336"
"34846","Serra do Mar Tyrant-Manakin","Manakin de Serra do Mar","Neopelma chrysolophum","","BIRDS","8296"
"34882","Olivaceous Elaenia","Élénie olivâtre","Elaenia mesoleuca","","BIRDS","8776"
"34896","White-lored Tyrannulet","Tyranneau minute","Ornithion inerme","","BIRDS","8701"
"34932","Rufous-headed Pygmy-Tyrant","Tyranneau à tête rousse","Pseudotriccus ruficeps","","BIRDS","8580"
"34939","Greater Wagtail-Tyrant","Calandrite bergeronnette","Stigmatura budytoides","","BIRDS","8863"
"34975","Streak-necked Flycatcher","Pipromorphe strié","Mionectes striaticollis","","BIRDS","8531"
"34982","Southern Scrub-Flycatcher","Moucherolle modeste","Sublegatus modestus","","BIRDS","8960"
"34989","Eared Pygmy-Tyrant","Microtyran oreillard","Myiornis auricularis","","BIRDS","8583"
"34996","Long-crested Pygmy-Tyrant","Microtyran eulophe","Lophotriccus eulophotes","","BIRDS","8590"
"35025","Black-and-white Tody-Flycatcher","Todirostre noir et blanc","Poecilotriccus capitalis","","BIRDS","8624"
"35032","Golden-winged Tody-Flycatcher","Todirostre à ailes d'or","Poecilotriccus calopterus","","BIRDS","8631"
"35039","Yellow-browed Tody-Flycatcher","Todirostre bridé","Todirostrum chrysocrotaphum","","BIRDS","8643"
"35125","Hudson's Black-Tyrant","Ada de Hudson","Knipolegus hudsoni","","BIRDS","8991"
"35132","Caatinga Black-Tyrant","Ada du Sao Francisco","Knipolegus franciscanus","","BIRDS","8980"
"35139","Yellow-bellied Chat-Tyrant","Pitajo diadème","Ochthoeca diadema","","BIRDS","9055"
"35175","Gray-bellied Shrike-Tyrant","Gaucho argentin","Agriornis micropterus","","BIRDS","9020"
"35182","White-fronted Ground-Tyrant","Dormilon à front blanc","Muscisaxicola albifrons","","BIRDS","9002"
"35189","Black-fronted Ground-Tyrant","Dormilon à front noir","Muscisaxicola frontalis","","BIRDS","9015"
"35239","Swainson's Flycatcher","Tyran de Swainson","Myiarchus swainsoni","","BIRDS","9105"
"35282","Black-capped Becard","Bécarde à calotte noire","Pachyramphus marginatus","","BIRDS","8489"
"35289","Pink-throated Becard","Bécarde de Lesson","Pachyramphus minor","","BIRDS","8494"
"35332","Karoo Lark","Alouette du Karoo","Calendulauda albescens","","BIRDS","11307"
"35339","Beesley's Lark","Alouette de Beesley","Chersomanes beesleyi","","BIRDS","11276"
"35375","Temminck's Lark","Alouette bilophe","Eremophila bilopha","","BIRDS","11371"
"35382","Sclater's Lark","Alouette de Sclater","Spizocorys sclateri","","BIRDS","11409"
"35389","Large-billed Lark","Cochevis à gros bec","Galerida magnirostris","","BIRDS","11425"
"35425","Peruvian Martin","Hirondelle de Murphy","Progne murphyi","","BIRDS","11953"
"35432","Andean Swallow","Hirondelle des Andes","Orochelidon andecola","","BIRDS","11930"
"35468","Red Sea Swallow","Hirondelle de la mer Rouge","Petrochelidon perdita","","BIRDS","12038"
"35518","Bush Pipit","Pipit cafre","Anthus caffer","","BIRDS","15585"
"35525","FÃ¼lleborn's Longclaw","Sentinelle de Fülleborn","Macronyx fuelleborni","","BIRDS","15593"
"35532","White-browed Wagtail","Bergeronnette indienne","Motacilla maderaspatensis","","BIRDS","15481"
"35568","Grauer's Cuckooshrike","Échenilleur de Grauer","Coracina graueri","","BIRDS","9685"
"35575","Sula Cicadabird","Échenilleur des Sula","Edolisoma sula","","BIRDS","9770"
"35582","Black Cicadabird","Échenilleur mélanure","Edolisoma melas","","BIRDS","9784"
"35618","Long-tailed Minivet","Minivet rouge","Pericrocotus ethologus","","BIRDS","9666"
"35625","Crested Finchbill","Bulbul à gros bec","Spizixos canifrons","","BIRDS","12186"
"35632","Gray-headed Bulbul","Bulbul colombar","Brachypodius priocephalus","","BIRDS","12174"
"35668","Ansorge's Greenbul","Bulbul d'Ansorge","Eurillas ansorgei","","BIRDS","12134"
"35682","Yellow-necked Greenbul","Bulbul de Falkenstein","Chlorocichla falkensteini","","BIRDS","12114"
"35718","Western Bearded-Greenbul","Bulbul crinon","Criniger barbatus","","BIRDS","12127"
"35725","Ochraceous Bulbul","Bulbul ocré","Alophoixus ochraceus","","BIRDS","12252"
"35768","Blue-masked Leafbird","Verdin à front bleu","Chloropsis venusta","","BIRDS","14975"
"35782","White-throated Dipper","Cincle plongeur","Cinclus cinclus","","BIRDS","13529"
"35818","Coraya Wren","Troglodyte coraya","Pheugopedius coraya","","BIRDS","13448"
"35875","Brown-backed Mockingbird","Moqueur à dos brun","Mimus dorsalis","","BIRDS","13741"
"35882","San Cristobal Mockingbird","Moqueur de San Cristobal","Mimus melanotis","","BIRDS","13746"
"35918","White-tailed Ant-Thrush","Néocossyphe à queue blanche","Neocossyphus poensis","","BIRDS","13772"
"35925","Miombo Rock-Thrush","Monticole angolais","Monticola angolensis","","BIRDS","14542"
"35932","Sri Lanka Whistling-Thrush","Arrenga de Ceylan","Myophonus blighi","","BIRDS","14408"
"35961","Gray Ground-Thrush","Grive olivâtre","Geokichla princei","","BIRDS","13890"
"35975","Dark-sided Thrush","Grive à grand bec","Zoothera marginata","","BIRDS","13804"
"36011","Yellow-legged Thrush","Merle à pattes jaunes","Turdus flavipes","","BIRDS","13942"
"36018","African Thrush","Merle africain","Turdus pelios","","BIRDS","14018"
"36025","Ring Ouzel","Merle à plastron","Turdus torquatus","","BIRDS","14086"
"36061","Lawrence's Thrush","Merle de Lawrence","Turdus lawrencii","","BIRDS","13989"
"36068","Unicolored Thrush","Merle de Bolivie","Turdus haplochrous","","BIRDS","13957"
"36118","Aberdare Cisticola","Cisticole des Aberdare","Cisticola aberdare","","BIRDS","11675"
"36125","Zitting Cisticola","Cisticole des joncs","Cisticola juncidis","","BIRDS","11683"
"36161","Sao Tome Prinia","Prinia de Sao Tomé","Prinia molleri","","BIRDS","11600"
"36168","Red-winged Gray Warbler","Apalis grise","Drymocichla incana","","BIRDS","11487"
"36175","Black-throated Apalis","Apalis à gorge noire","Apalis jacksoni","","BIRDS","11530"
"36211","Pale-footed Bush Warbler","Bouscarle à pattes claires","Urosphena pallidipes","","BIRDS","12472"
"36218","Tanimbar Bush Warbler","Bouscarle des Tanimbar","Horornis carolinae","","BIRDS","12502"
"36225","Cetti's Warbler","Bouscarle de Cetti","Cettia cetti","","BIRDS","12485"
"36261","Common Grasshopper-Warbler","Locustelle tachetée","Locustella naevia","","BIRDS","11872"
"36268","Sakhalin Grasshopper-Warbler","Locustelle amnicole","Locustella amnicola","","BIRDS","11859"
"36275","Blunt-winged Warbler","Rousserolle de Swinhoe","Acrocephalus concinens","","BIRDS","11741"
"36311","Melodious Warbler","Hypolaïs polyglotte","Hippolais polyglotta","","BIRDS","11731"
"36318","Long-billed Tailorbird","Apalis à long bec","Artisornis moreaui","","BIRDS","11498"
"36325","Gray-backed Tailorbird","Couturière de Luçon","Orthotomus derbianus","","BIRDS","11569"
"36361","Kemp's Longbill","Nasique de Kemp","Macrosphenus kempi","","BIRDS","11458"
"36368","White-browed Tit-Warbler","Orite de Sophie","Leptopoecile sophiae","","BIRDS","12519"
"36375","Black-capped Woodland-Warbler","Pouillot à tête noire","Phylloscopus herberti","","BIRDS","12382"
"36425","Green-crowned Warbler","Pouillot de Burke","Phylloscopus burkii","","BIRDS","12386"
"36454","New Caledonian Grassbird","Mégalure calédonienne","Cincloramphus mariei","","BIRDS","11821"
"36461","Indian Grassbird","Grande Graminicole","Graminicola bengalensis","","BIRDS","13013"
"36468","Barred Warbler","Fauvette épervière","Sylvia nisoria","","BIRDS","12561"
"36475","Greater Whitethroat","Fauvette grisette","Sylvia communis","","BIRDS","12601"
"36511","Mariqua Flycatcher","Gobemouche du Marico","Bradornis mariquensis","","BIRDS","14126"
"36518","Yellow-eyed Black-Flycatcher","Gobemouche de Berlioz","Melaenornis ardesiacus","","BIRDS","14154"
"36554","Dusky-blue Flycatcher","Gobemouche ardoisé","Bradornis comitatus","","BIRDS","14125"
"36561","Grand Comoro Flycatcher","Gobemouche des Comores","Humblotia flavirostris","","BIRDS","14161"
"36604","Rufous-vented Niltava","Gobemouche de Sumatra","Niltava sumatrana","","BIRDS","14275"
"36611","Blue-breasted Flycatcher","Gobemouche à poitrine bleue","Cyornis herioti","","BIRDS","14215"
"36618","Sunda Blue Flycatcher","Gobemouche à grand bec","Cyornis caerulatus","","BIRDS","14238"
"36661","Mountain Robin-Chat","Cossyphe d'Isabel","Cossypha isabellae","","BIRDS","14295"
"36668","RÃ¼ppell's Robin-Chat","Cossyphe de Rüppell","Cossypha semirufa","","BIRDS","14311"
"36704","Common Redstart","Rougequeue à front blanc","Phoenicurus phoenicurus","","BIRDS","14506"
"36711","White-capped Redstart","Rougequeue à calotte blanche","Phoenicurus leucocephalus","","BIRDS","14502"
"36718","Grandala","Grandala bleu","Grandala coelicolor","","BIRDS","13757"
"36754","Red-rumped Wheatear","Traquet à tête grise","Oenanthe moesta","","BIRDS","14623"
"36761","Isabelline Wheatear","Traquet isabelle","Oenanthe isabellina","","BIRDS","14607"
"36768","Brown-tailed Chat","Traquet à queue brune","Oenanthe scotocerca","","BIRDS","14627"
"36804","Senegal Batis","Pririt du Sénégal","Batis senegalensis","","BIRDS","10183"
"36811","West African Batis","Pririt de Lawson","Batis occulta","","BIRDS","10192"
"36818","Black-and-cinnamon Fantail","Rhipidure noir et roux","Rhipidura nigrocinnamomea","","BIRDS","10343"
"36854","Malaita Fantail","Rhipidure de Malaita","Rhipidura malaitae","","BIRDS","10393"
"36861","Livingstone's Flycatcher","Érythrocerque de Livingstone","Erythrocercus livingstonei","","BIRDS","12467"
"36868","African Crested-Flycatcher","Tchitrec du Cap","Trochocercus cyanomelas","","BIRDS","10579"
"36904","Island Monarch","Monarque des îles","Monarcha cinerascens","","BIRDS","10658"
"36911","Loetoe Monarch","Monarque des Tanimbar","Carterornis castus","","BIRDS","10652"
"36918","Black-tipped Monarch","Monarque de Buru","Symposiachrus loricatus","","BIRDS","10684"
"36947","Vanikoro Flycatcher","Monarque de Vanikoro","Myiagra vanikorensis","","BIRDS","10717"
"36954","Shining Flycatcher","Monarque luisant","Myiagra alecto","","BIRDS","10728"
"36961","Torrent Flycatcher","Miro des torrents","Monachella muelleriana","","BIRDS","11049"
"36968","Garnet Robin","Miro grenat","Eugerygone rubra","","BIRDS","11062"
"36997","Ashy Robin","Miro cendré","Heteromyias albispecularis","","BIRDS","11107"
"37004","Pipipi","Mohoua pipipi","Mohoua novaeseelandiae","","BIRDS","9789"
"255854","A Rove Beetle","","Gymnusa smetanai","","BEETLES","255854"
"255861","A Rove Beetle","","Gyrophaena insolens","","BEETLES","255861"
"255868","A Rove Beetle","","Habrocerus magnus","","BEETLES","255868"
"255897","A Rove Beetle","","Lathrobium furvulum","","BEETLES","255897"
"31231","Rusty-flanked Crake","Râle de Levraud","Laterallus levraudi","","BIRDS","2978"
"31238","Red-and-white Crake","Râle blanc et roux","Laterallus leucopyrrhus","","BIRDS","2993"
"31245","Buff-banded Rail","Râle tiklin","Gallirallus philippensis","","BIRDS","2817"
"31281","Brown Crake","Marouette akool","Zapornia akool","","BIRDS","2946"
"31288","Sakalava Rail","Marouette d'Olivier","Zapornia olivieri","","BIRDS","2959"
"31295","Dot-winged Crake","Marouette maillée","Porzana spiloptera","","BIRDS","2861"
"31338","African Finfoot","Grébifoulque d'Afrique","Podica senegalensis","","BIRDS","2997"
"31345","Great Bustard","Grande Outarde","Otis tarda","","BIRDS","1515"
"31381","South American Painted-snipe","Rhynchée de Saint-Hilaire","Nycticryphes semicollaris","","BIRDS","3202"
"31438","White-headed Lapwing","Vanneau à tête blanche","Vanellus albiceps","","BIRDS","3112"
"31445","Gray-headed Lapwing","Vanneau à tête grise","Vanellus cinereus","","BIRDS","3120"
"31481","Two-banded Plover","Pluvier des Falkland","Charadrius falklandicus","","BIRDS","3147"
"31488","Rufous-chested Dotterel","Pluvier de d'Urville","Charadrius modestus","","BIRDS","3185"
"31495","Diademed Sandpiper-Plover","Pluvier des Andes","Phegornis mitchellii","","BIRDS","3193"
"31588","Rufous-bellied Seedsnipe","Attagis de Gay","Attagis gayi","","BIRDS","3196"
"31595","Pacific Gull","Goéland austral","Larus pacificus","","BIRDS","3534"
"31624","Pallas's Gull","Goéland ichthyaète","Ichthyaetus ichthyaetus","","BIRDS","3529"
"31631","Black-billed Gull","Mouette de Buller","Chroicocephalus bulleri","","BIRDS","3502"
"31638","Mediterranean Gull","Mouette mélanocéphale","Ichthyaetus melanocephalus","","BIRDS","3523"
"31674","Black-fronted Tern","Guifette des galets","Chlidonias albostriatus","","BIRDS","3667"
"31738","Lichtenstein's Sandgrouse","Ganga de Lichtenstein","Pterocles lichtensteinii","","BIRDS","1507"
"31774","Metallic Pigeon","Pigeon à gorge blanche","Columba vitiensis","","BIRDS","1039"
"31781","Bare-eyed Pigeon","Pigeon jounud","Patagioenas corensis","","BIRDS","1049"
"31788","Peruvian Pigeon","Pigeon du Pérou","Patagioenas oenops","","BIRDS","1064"
"31831","Namaqua Dove","Tourtelette masquée","Oena capensis","","BIRDS","1148"
"31838","Flock Bronzewing","Colombine arlequin","Phaps histrionica","","BIRDS","1173"
"31874","Long-tailed Ground Dove","Colombe à longue queue","Uropelia campestris","","BIRDS","1206"
"31924","Pheasant Pigeon","Otidiphaps noble","Otidiphaps nobilis","","BIRDS","1276"
"31938","Gray-cheeked Green-Pigeon","Colombar à face grise","Treron griseicauda","","BIRDS","1313"
"31981","Gray-green Fruit-Dove","Ptilope de la Société","Ptilinopus purpuratus","","BIRDS","1378"
"31988","Coroneted Fruit-Dove","Ptilope à couronne lilas","Ptilinopus coronulatus","","BIRDS","1388"
"32024","Cinnamon-bellied Imperial-Pigeon","Carpophage des Moluques","Ducula basilica","","BIRDS","1441"
"32031","Peale's Imperial-Pigeon","Carpophage de Peale","Ducula latrans","","BIRDS","1452"
"32038","Zoe's Imperial-Pigeon","Carpophage de Zoé","Ducula zoeae","","BIRDS","1461"
"32067","Sulphur-crested Cockatoo","Cacatoès à huppe jaune","Cacatua galerita","","BIRDS","6555"
"32074","Yellow-streaked Lory","Lori flamméché","Chalcopsitta scintillata","","BIRDS","6762"
"32081","Blue-eared Lory","Lori masqué","Eos semilarvata","","BIRDS","6781"
"32117","Duchess Lorikeet","Lori de Margaret","Charmosyna margarethae","","BIRDS","6747"
"32124","Pesquet's Parrot","Psittrichas de Pesquet","Psittrichas fulgidus","","BIRDS","6563"
"32131","Red-breasted Pygmy-Parrot","Micropsitte de Bruijn","Micropsitta bruijnii","","BIRDS","6574"
"32167","Bourke's Parrot","Perruche de Bourke","Neophema bourkii","","BIRDS","6659"
"32174","Swift Parrot","Perruche de Latham","Lathamus discolor","","BIRDS","6667"
"32181","Modest Tiger-Parrot","Perruche modeste","Psittacella modesta","","BIRDS","6645"
"32217","Derbyan Parakeet","Perruche de Derby","Psittacula derbiana","","BIRDS","6628"
"32224","Camiguin Hanging-Parrot","Coryllis de Camiguin","Loriculus camiguinensis","","BIRDS","6811"
"32231","Green-fronted Hanging-Parrot","Coryllis des Bismarck","Loriculus tener","","BIRDS","6818"
"32267","Red-bellied Macaw","Ara macavouanne","Orthopsittaca manilatus","","BIRDS","7065"
"32274","Yellow-eared Parrot","Conure à joues d'or","Ognorhynchus icterotis","","BIRDS","7084"
"32281","Scarlet-fronted Parakeet","Conure de Wagler","Psittacara wagleri","","BIRDS","7102"
"32324","White-necked Parakeet","Conure à col blanc","Pyrrhura albipectus","","BIRDS","7030"
"32374","Rusty-faced Parrot","Caïque à face rousse","Hapalopsittaca amazonina","","BIRDS","6888"
"32417","Blue-bellied Parrot","Crick à ventre bleu","Triclaria malachitacea","","BIRDS","6887"
"32424","White-crested Turaco","Touraco à huppe blanche","Tauraco leucolophus","","BIRDS","1563"
"32431","Prince Ruspoli's Turaco","Touraco de Ruspoli","Tauraco ruspolii","","BIRDS","1576"
"32467","Barred Long-tailed Cuckoo","Coucou montagnard","Cercococcyx montanus","","BIRDS","1779"
"32474","Black-eared Cuckoo","Coucou oreillard","Chrysococcyx osculans","","BIRDS","1742"
"32481","Violet Cuckoo","Coucou violet","Chrysococcyx xanthorhynchus","","BIRDS","1730"
"32517","Running Coua","Coua coureur","Coua cursor","","BIRDS","1624"
"32524","Sunda Coucal","Coucal noirou","Centropus nigrorufus","","BIRDS","1648"
"32581","Red-billed Ground-Cuckoo","Géocoucou de Pucheran","Neomorphus pucheranii","","BIRDS","1610"
"32617","Luzon Scops-Owl","Petit-duc longicorne","Otus longicornis","","BIRDS","4890"
"32624","Moluccan Scops-Owl","Petit-duc mystérieux","Otus magicus","","BIRDS","4857"
"32674","Rock Eagle-Owl","Grand-duc indien","Bubo bengalensis","","BIRDS","4970"
"32710","African Wood-Owl","Chouette africaine","Strix woodfordii","","BIRDS","5111"
"32774","White-browed Owl","Chevêche à sourcils blancs","Athene superciliaris","","BIRDS","5060"
"32810","Large Frogmouth","Podarge oreillard","Batrachostomus auritus","","BIRDS","1827"
"38233","Masked Woodswallow","Langrayen masqué","Artamus personatus","","BIRDS","10113"
"38240","Lowland Peltops","Peltopse des plaines","Peltops blainvillii","","BIRDS","10124"
"38247","Black Butcherbird","Cassican des mangroves","Cracticus quoyi","","BIRDS","10131"
"38283","Wilson's Bird-of-paradise","Paradisier républicain","Cicinnurus respublica","","BIRDS","10566"
"38290","Goldie's Bird-of-paradise","Paradisier de Goldie","Paradisaea decora","","BIRDS","10571"
"38333","Purplish Jay","Geai bleu-noir","Cyanocorax cyanomelas","","BIRDS","10845"
"38340","White-naped Jay","Geai à nuque blanche","Cyanocorax cyanopogon","","BIRDS","10855"
"38376","Racket-tailed Treepie","Témia bronzée","Crypsirina temia","","BIRDS","10922"
"38383","Mongolian Ground-Jay","Podoce de Henderson","Podoces hendersoni","","BIRDS","10942"
"38390","Yellow-billed Chough","Chocard à bec jaune","Pyrrhocorax graculus","","BIRDS","10954"
"38397","Piping Crow","Corneille des Célèbes","Corvus typicus","","BIRDS","10967"
"38426","Forest Raven","Corbeau de Tasmanie","Corvus tasmanicus","","BIRDS","11007"
"38433","Thick-billed Raven","Corbeau corbivau","Corvus crassirostris","","BIRDS","11014"
"38440","Rennell Starling","Stourne de Rennell","Aplonis insularis","","BIRDS","13554"
"38476","Great Myna","Grand Martin","Acridotheres grandis","","BIRDS","13637"
"38533","Socotra Starling","Rufipenne de Socotra","Onychognathus frater","","BIRDS","13660"
"38540","Stuhlmann's Starling","Choucador de Stuhlmann","Poeoptera stuhlmanni","","BIRDS","13670"
"38576","Yellow-throated Bush Sparrow","Moineau bridé","Gymnoris superciliaris","","BIRDS","15432"
"38583","Pere David's Snowfinch","Niverolle de David","Montifringilla davidiana","","BIRDS","15440"
"38590","Speckle-fronted Weaver","Sporopipe quadrillé","Sporopipes frontalis","","BIRDS","14982"
"38626","African Golden-Weaver","Tisserin jaune","Ploceus subaureus","","BIRDS","15039"
"38633","Northern Brown-throated Weaver","Tisserin à gorge noire","Ploceus castanops","","BIRDS","15046"
"38640","Katanga Masked-Weaver","Tisserin du Katanga","Ploceus katangae","","BIRDS","15054"
"38676","Red-headed Quelea","Travailleur à tête rouge","Quelea erythrops","","BIRDS","15108"
"38683","Seychelles Fody","Foudi des Seychelles","Foudia sechellarum","","BIRDS","15122"
"38726","Arabian Waxbill","Astrild barbe-rousse","Estrilda rufibarba","","BIRDS","15183"
"38733","Kandt's Waxbill","Astrild de Kandt","Estrilda kandti","","BIRDS","15190"
"38740","Crimson Seedcracker","Pyréneste gros-bec","Pyrenestes sanguineus","","BIRDS","15200"
"38776","Locustfinch","Astrild-caille à gorge rouge","Paludipasser locustella","","BIRDS","15247"
"38783","Crimson Finch","Diamant phaéton","Neochmia phaeton","","BIRDS","15254"
"38790","Long-tailed Finch","Diamant à longue queue","Poephila acuticauda","","BIRDS","15267"
"38826","Grand Munia","Grand Capucin","Lonchura grandis","","BIRDS","15325"
"38833","New Hanover Munia","Capucin de Nouvelle-Hanovre","Lonchura nigerrima","","BIRDS","15332"
"38840","Bismarck Munia","Capucin de Nouvelle-Bretagne","Lonchura melaena","","BIRDS","15340"
"38926","Orange-crowned Euphonia","Organiste à calotte d'or","Euphonia saturata","","BIRDS","15626"
"38933","Antillean Euphonia","Organiste louis-d'or","Euphonia musica","","BIRDS","15634"
"38976","Pallas's Rosefinch","Roselin rose","Carpodacus roseus","","BIRDS","15750"
"39019","Yemen Linnet","Linotte du Yémen","Linaria yemenensis","","BIRDS","15863"
"39026","Citril Finch","Venturon montagnard","Carduelis citrinella","","BIRDS","15922"
"39033","African Citril","Serin d'Abyssinie","Crithagra citrinelloides","","BIRDS","15820"
"39069","Brown Bullfinch","Bouvreuil brun","Pyrrhula nipalensis","","BIRDS","15763"
"39083","White-winged Grosbeak","Gros-bec à ailes blanches","Mycerobas carnipes","","BIRDS","15657"
"39226","Riverbank Warbler","Paruline des rives","Myiothlypis rivularis","","BIRDS","16762"
"39276","Rufous-browed Hemispingus","Chipiu à sourcils fauves","Poospiza rufosuperciliaris","","BIRDS","17293"
"39283","Fulvous-headed Tanager","Tangara à tête fauve","Thlypopsis fulviceps","","BIRDS","16957"
"39362","Blue-backed Tanager","Tangara cyanictère","Cyanicterus cyanicterus","","BIRDS","17015"
"39369","Black-chested Mountain-Tanager","Tangara à poitrine noire","Cnemathraupis eximia","","BIRDS","17024"
"39376","Blue-winged Mountain-Tanager","Tangara somptueux","Anisognathus somptuosus","","BIRDS","17038"
"39383","Yellow-scarfed Tanager","Tangara de Reinhardt","Iridosornis reinhardti","","BIRDS","17054"
"39412","Rufous-throated Tanager","Calliste à gorge rousse","Ixothraupis rufigula","","BIRDS","17077"
"39419","Scrub Tanager","Calliste vitriolin","Stilpnia vitriolina","","BIRDS","17103"
"39462","Slaty Bunting","Bruant bleu","Emberiza siemsseni","","BIRDS","16029"
"39469","Meadow Bunting","Bruant à longue queue","Emberiza cioides","","BIRDS","16001"
"39476","House Bunting","Bruant du Sahara","Emberiza sahari","","BIRDS","16027"
"39512","Patagonian Sierra-Finch","Phrygile de Patagonie","Phrygilus patagonicus","","BIRDS","17230"
"39519","Ash-breasted Sierra-Finch","Haplospize plébéien","Geospizopsis plebejus","","BIRDS","17246"
"39576","Parrot-billed Seedeater","Sporophile perroquet","Sporophila peruviana","","BIRDS","17338"
"39626","Glossy Flowerpiercer","Percefleur de Lafresnaye","Diglossa lafresnayii","","BIRDS","17200"
"39662","Olive Finch","Tohi lysure","Arremon castaneiceps","","BIRDS","16156"
"39669","Vilcabamba Brushfinch","Tohi de Terborgh","Atlapetes terborghi","","BIRDS","16335"
"39676","Santa Marta Brushfinch","Tohi des Santa Marta","Atlapetes melanocephalus","","BIRDS","16309"
"39776","Large Ground-Finch","Géospize à gros bec","Geospiza magnirostris","","BIRDS","17440"
"39819","Ultramarine Grosbeak","Évêque de Brisson","Cyanoloxia brissonii","","BIRDS","16897"
"39855","Scrub Blackbird","Quiscale buissonnier","Dives warczewiczi","","BIRDS","16505"
"39905","Golden-winged Cacique","Cassique à épaulettes","Cacicus chrysopterus","","BIRDS","16405"
"39919","Baudo Oropendola","Cassique de Cassin","Psarocolius cassini","","BIRDS","16398"
"252796","A Soldier Beetle","","Podabrus extremus","","BEETLES","252796"
"252803","A Soldier Beetle","","Podabrus modestus","","BEETLES","252803"
"252810","A Soldier Beetle","","Podabrus simplex","","BEETLES","252810"
"252846","Ground Beetle","","Agonum crenistriatum","","BEETLES","252846"
"252853","Ground Beetle","","Agonum extensicolle","","BEETLES","252853"
"252860","Ground Beetle","","Agonum melanarium","","BEETLES","252860"
"252896","Ground Beetle","","Amara hyperborea","","BEETLES","252896"
"252903","Ground Beetle","","Amara musculis","","BEETLES","252903"
"252910","Ground Beetle","","Amara schwarzi","","BEETLES","252910"
"252939","Ground Beetle","","Badister obtusus","","BEETLES","252939"
"252946","A Ground Beetle","","Bembidion americanum","","BEETLES","252946"
"32824","White-winged Potoo","Ibijau à ailes blanches","Nyctibius leucopterus","","BIRDS","1985"
